time	MetEireann	Belturbet	Clones
2127	4.1	6.175	9.9
2130	4	3.993333333	9.1
2133	2.9	3.865	8.1
2136	3	3.613333333	10.2
2139	3.7	3.745	11.8
2142	5.5	5.088333333	12.7
2145	6.9	7.996666667	13.5
2148	6.9	9.116666667	12.1
2151	7.2	8.77	8.8
2154	5.4	6.24	8.1
2157	4.4	5.321666667	8.5
2160	4.4	5.33	7.4
2163	4.5	5.8	7.2
2166	5.4	6.225	9.7
2169	6.6	6.996666667	11.1
2172	7.8	7.958333333	13.8
2175	8	8.236666667	12.7
2178	9.4	8.94	11.6
2181	10	9.536666667	11.1
2184	8.6	9.726666667	10.6
2187	8	8.328333333	10.4
2190	7.3	8.03	12.6
2193	9	9.178333333	14.4
2196	10.1	9.773333333	13
2199	8.1	9.56	8.6
2202	7.4	8.02	8
2205	7.5	7.385	7.2
2208	6.6	7.203333333	7.2
2211	7.9	7.583333333	8.1
2214	10.1	9.57	11.2
2217	12.8	12.64333333	10.8
2220	14.2	13.59	9.8
2223	13.3	14.54	9.5
2226	8.4	10.33166667	9
2229	6.6	8.168333333	8
2232	5.3	8.746666667	8.3
2235	7.5	8.806666667	9.2
2238	10.5	9.646666667	10.3
2241	12.5	12.69	14.4
2244	13.2	14.28	12.7
2247	11.9	15.04166667	8.7
2250	6.2	12.19833333	6.4
2253	4	10.10166667	5.4
2256	1.9	7.906666667	5.9
2259	2	5.796666667	7.5
2262	9.6	7.64	10.5
2265	15.3	14.32666667	14
2268	16.1	17.85166667	11.5
2271	12	15.355	7.5
2274	8.5	10.79666667	5.4
2277	4	9.403333333	4.8
2280	3.1	7.661666667	4.7
2283	4	7.176666667	7.1
2286	12.5	9.91	7.4
2289	16	15.55166667	7
2292	17.2	18.89666667	6.4
2295	15.3	17.55333333	6.1
2298	8.4	12.205	6.4
2301	6.1	8.781666667	6.4
2304	3.7	6.986666667	5.8
2307	5.5	5.898333333	6.2
2310	12.4	8.803333333	9.8
2313	16.5	15.20333333	11.2
2316	16.9	19.04666667	10.6
2319	14.3	17.39166667	7.1
2322	8.7	13.72666667	5.7
2325	6.8	9.875	4.1
2328	3.8	7.931666667	2.9
2331	2.7	5.355	6.6
2334	12.2	8.175	8.4
2337	15.9	15.05166667	10.8
2340	16.9	18.30833333	11.1
2343	14.8	19.86333333	7.3
2346	10.9	15.02666667	6
2349	6.8	10.22666667	5.6
2352	3.5	7.381666667	5
2355	5	4.966666667	5.6
2358	11.6	9.403333333	8.2
2361	14.1	15.215	10.1
2364	16.1	18.83166667	10.4
2367	13	15.815	7.3
2370	9.7	12.12166667	6.8
2373	3.4	6.751666667	5.3
2376	3.1	5.851666667	4.5
2379	3	4.005	4.5
2382	7.1	6.07	4
2385	7.9	8.938333333	8.4
2388	7	10.05666667	5.4
2391	5.8	9.275	5.4
2394	4.9	5.703333333	4.4
2397	5.1	5.408333333	3.3
